,Nombre de la colonia,Municipios en los que se encuentra,Promedio de ocupantes por cuarto en viviendas particulares habitadas,Viviendas particulares habitadas con piso de tierra,Viviendas particulares habitadas que no disponen de agua entubada en el mbito de la vivienda,Viviendas particulares habitadas que disponen de letrina (pozo u hoyo)
0,LOMAS INDEPENDENCIA,Guadalajara,0.71,3,0,0
1,POSTES CUATES,Guadalajara,0.79,4,4,1
2,INDEPENDENCIA ORIENTE,Guadalajara,0.66,8,3,2
3,BELISARIO DOMINGUEZ,Guadalajara,0.83,10,2,1
4,SANTA MARIA,Guadalajara,0.84,10,0,0
5,OBLATOS,Guadalajara,0.79,13,4,2
6,REFORMA,Guadalajara,0.76,7,0,0
7,PROGRESO,Guadalajara,0.82,3,0,0
8,MIRADOR,Guadalajara,0.82,3,1,1
9,LAS HUERTAS,Guadalajara,0.82,3,1,1
10,SAN MARTIN,Guadalajara,0.94,9,0,0
11,SAN JUAN DE DIOS,Guadalajara,0.79,12,5,4
12,LA PENAL,Guadalajara,0.82,15,1,1
13,ALDAMA TETLAN,Guadalajara,0.98,30,1,0
14,CIRCUNVALACION OBLATOS,Guadalajara,0.83,7,2,0
15,CANTARRANAS,Guadalajara,0.86,3,1,0
16,POPULAR,Guadalajara,1.00,3,1,1
17,SAN RAFAEL,Guadalajara,0.88,11,4,2
18,TALPITA,Guadalajara,0.88,7,1,1
19,HUERTA BAEZA,Guadalajara,0.82,4,0,0
20,LA PERLA,Guadalajara,0.76,7,1,2
21,SAN JUAN BOSCO,Guadalajara,0.82,7,1,1
22,SAN ANTONIO,Guadalajara,0.86,24,3,1
23,MAGAA,Guadalajara,0.76,18,2,0
24,BLANCO Y CUELLAR,Guadalajara,0.89,15,4,3
25,HERNANDEZ ROMO,Guadalajara,0.78,4,0,0
26,SAN ANDRES,Guadalajara,0.83,19,3,1
27,REVOLUCION,Guadalajara,0.74,7,0,0
28,REAL,Guadalajara,0.78,3,1,0
29,REFORMA,Guadalajara,0.94,1,0,0
30,SAN JUAN DE DIOS II,Guadalajara,0.84,1,2,0
31,ANALCO,Guadalajara,0.80,3,1,1
32,OBRERA,Guadalajara,0.74,1,0,0
33,MODELO,Guadalajara,0.79,4,4,4
34,OLIMPICA,Guadalajara,0.69,5,1,1
35,LA LOMA,Guadalajara,0.75,6,2,0
36,MEDRANO,Guadalajara,0.78,2,0,0
37,BEATRIZ HERNANDEZ,Guadalajara,0.96,8,1,1
38,TETLAN II,Guadalajara,0.99,12,1,0
39,OBELISCOS,Guadalajara,1.08,3,0,0
40,JARDINES DE GUADALUPE,Guadalajara,0.90,5,2,1
41,INSURGENTES,Guadalajara,0.97,34,3,1
42,LOMAS DE SAN EUGENIO,Guadalajara,0.89,1,0,0
43,SAN EUGENIO,Guadalajara,0.86,3,0,0
44,SAN ISIDRO OBLATOS,Guadalajara,0.99,9,0,1
45,PARQUES DE SAN PEDRO,Guadalajara,0.79,2,1,1
